,ensembl_gene_id,accession number,id
0,ENSMUSG00000057564,Q9R0K4,Olfr1508
1,ENSMUSG00000057564,A0A0U1RP49,Olfr1508
2,ENSMUSG00000057654,Q5NCD3,Olfr328
3,ENSMUSG00000049098,Q60886,Olfr147
4,ENSMUSG00000049098,A0A1L1SRI3,Olfr147
5,ENSMUSG00000045540,E9PUN7,Olfr600
6,ENSMUSG00000073906,Q7TRN5,Olfr692
7,ENSMUSG00000073906,Q8VF03,Olfr692
8,ENSMUSG00000095903,Q8VFN4,Olfr968
9,ENSMUSG00000061195,Q8VF49,Olfr1289
10,ENSMUSG00000061195,A0A288CFY5,Olfr1289
11,ENSMUSG00000049315,Q8VGK3,Olfr348
12,ENSMUSG00000061952,Q8VGH1,Olfr1377
13,ENSMUSG00000094140,Q8VF72,Olfr1512
14,ENSMUSG00000049758,Q7TQW6,Olfr1318
15,ENSMUSG00000094755,Q8VFX0,Olfr1453
16,ENSMUSG00000096356,L7N1Y6,Olfr889
17,ENSMUSG00000096356,Q9EQA4,Olfr889
18,ENSMUSG00000075156,Q7TR47,Olfr1128
19,ENSMUSG00000094846,A0A140LHR5,Olfr1487
20,ENSMUSG00000094846,A0A140LI93,Olfr1487
21,ENSMUSG00000094846,Q8VFQ6,Olfr1487
22,ENSMUSG00000046041,Q8VFI3,Olfr803
23,ENSMUSG00000061295,F6RCR7,Olfr1261
24,ENSMUSG00000061295,Q8VFB0,Olfr1261
25,ENSMUSG00000073768,Q8VEY6,Olfr1330
26,ENSMUSG00000045824,A0A1B0GRW7,Olfr574
27,ENSMUSG00000045824,F8VQ18,Olfr574
28,ENSMUSG00000075384,Q60879,Olfr3
29,ENSMUSG00000075132,Q7TR24,Olfr1173
30,ENSMUSG00000066749,Q8VF62,Olfr877
31,ENSMUSG00000045202,Q8VFQ1,Olfr123
32,ENSMUSG00000057464,Q7TQS4,Olfr1415
33,ENSMUSG00000057464,A0A0N4SV77,Olfr1415
34,ENSMUSG00000096497,Q7TRI1,Olfr787
35,ENSMUSG00000057179,E9PXH6,Olfr747
36,ENSMUSG00000057179,A0A0U1RPE9,Olfr747
37,ENSMUSG00000075081,A2AT78,Olfr1247
38,ENSMUSG00000096822,Q8VFP9,Olfr344
39,ENSMUSG00000073961,Q7TRS2,Olfr582
40,ENSMUSG00000073961,Q8VGV9,Olfr582
41,ENSMUSG00000094197,Q8VFC9,Olfr474
42,ENSMUSG00000075086,Q8VF91,Olfr1241
43,ENSMUSG00000050158,Q8VFA2,Olfr165
44,ENSMUSG00000050158,Q78MG2,Olfr165
45,ENSMUSG00000057540,B2RVZ1,Olfr310
46,ENSMUSG00000075063,Q60881,Olfr142
47,ENSMUSG00000050613,Q14AJ9,Olfr125
48,ENSMUSG00000094461,Q8VF64,Olfr883
49,ENSMUSG00000060303,Q8VFX3,Olfr1447
50,ENSMUSG00000060303,A0A140LIZ6,Olfr1447
51,ENSMUSG00000061961,Q8VFU0,Olfr815
52,ENSMUSG00000061961,Q7TRH3,Olfr815
53,ENSMUSG00000073966,Q8VGZ6,Olfr561
54,ENSMUSG00000066899,Q8VGG4,Olfr870
55,ENSMUSG00000111159,A2ACY8,Olfr1337
56,ENSMUSG00000073947,Q8VGY4,Olfr615
57,ENSMUSG00000054406,Q7TRW8,Olfr411
58,ENSMUSG00000054406,A0A0U1RP86,Olfr411
59,ENSMUSG00000068182,L7N205,Olfr203
60,ENSMUSG00000068182,A0A1L1SSG9,Olfr203
61,ENSMUSG00000043925,E9PX47,Olfr544
62,ENSMUSG00000073955,Q7TRR5,Olfr593
63,ENSMUSG00000073955,Q8VF28,Olfr593
64,ENSMUSG00000050772,A2AT86,Olfr1124
65,ENSMUSG00000050251,Q7TRH6,Olfr809
66,ENSMUSG00000050251,Q8VEX8,Olfr809
67,ENSMUSG00000050251,A0A0N4SVC0,Olfr809
68,ENSMUSG00000095138,Q8VFZ8,Olfr781
69,ENSMUSG00000094891,K7N6Q1,Olfr55
70,ENSMUSG00000094891,A0A2I3BPU7,Olfr55
71,ENSMUSG00000042894,A0A1L1SVA0,Olfr1260
72,ENSMUSG00000042894,Q8VGN9,Olfr1260
73,ENSMUSG00000042894,A0A1L1SR34,Olfr1260
74,ENSMUSG00000042894,A2AWB5,Olfr1260
75,ENSMUSG00000073937,Q8VF02,Olfr633
76,ENSMUSG00000066747,Q7TRE3,Olfr878
77,ENSMUSG00000066747,Q9EQA9,Olfr878
78,ENSMUSG00000070460,Q7TS12,Olfr291
79,ENSMUSG00000070460,Q8VF60,Olfr291
80,ENSMUSG00000109449,Q8VGG8,Olfr1280
81,ENSMUSG00000075159,Q8VG38,Olfr1110
82,ENSMUSG00000073950,Q8VG01,Olfr599
83,ENSMUSG00000061637,A0A140LJ40,Olfr1457
84,ENSMUSG00000061637,Q8VFK3,Olfr1457
85,ENSMUSG00000061637,A0A1L1SQH1,Olfr1457
86,ENSMUSG00000096794,L7N1X5,Olfr905
87,ENSMUSG00000073110,Q8VFS6,Olfr444
88,ENSMUSG00000057997,A0A1B0GRT9,Olfr541
89,ENSMUSG00000057997,Q8VGM0,Olfr541
90,ENSMUSG00000060827,A0A1L1SQ65,Olfr1193
91,ENSMUSG00000060827,A2AV13,Olfr1193
92,ENSMUSG00000066750,Q7TRE4,Olfr876
93,ENSMUSG00000047794,Q7TRN7,Olfr685
94,ENSMUSG00000047794,A0A1L1SVG7,Olfr685
95,ENSMUSG00000045708,Q8VGP6,Olfr447
96,ENSMUSG00000095706,L7N1X3,Olfr209
97,ENSMUSG00000095706,A0A140LIQ3,Olfr209
98,ENSMUSG00000029184,Q8VG96,Olfr109
99,ENSMUSG00000058275,Q7TRW7,Olfr412
100,ENSMUSG00000051706,Q7TQW1,Olfr1325
101,ENSMUSG00000051706,Q8VF43,Olfr1325
102,ENSMUSG00000047352,Q3UX31,Olfr976
103,ENSMUSG00000047352,Q8VF15,Olfr976
104,ENSMUSG00000058807,Q5NC44,Olfr331
105,ENSMUSG00000058807,F6WSM5,Olfr331
106,ENSMUSG00000051952,Q8VGB8,Olfr371
107,ENSMUSG00000049149,Q8VGN6,Olfr1258
108,ENSMUSG00000075148,Q8VFQ7,Olfr1141
109,ENSMUSG00000066905,Q8VFF7,Olfr860
110,ENSMUSG00000066905,A0A1D5RM73,Olfr860
111,ENSMUSG00000060480,Q7TS51,Olfr171
112,ENSMUSG00000060480,G5E8J1,Olfr171
113,ENSMUSG00000058188,E9Q840,Olfr746
114,ENSMUSG00000059595,Q8VG16,Olfr935
115,ENSMUSG00000094449,Q9EQA2,Olfr972
116,ENSMUSG00000068806,Q8VEZ1,Olfr1259
117,ENSMUSG00000075074,Q8VFB1,Olfr1254
118,ENSMUSG00000059087,Q7TRN4,Olfr698
119,ENSMUSG00000067528,Q8VFV1,Olfr1424
120,ENSMUSG00000060057,Q7TS43,Olfr193
121,ENSMUSG00000060057,A0A140LHJ9,Olfr193
122,ENSMUSG00000107822,A0A2I3BRV4,Olfr1358
123,ENSMUSG00000090629,A0A0U1RNK4,Olfr180
124,ENSMUSG00000090629,A0A0U1RP27,Olfr180
125,ENSMUSG00000090629,F8VQ90,Olfr180
126,ENSMUSG00000075211,A2ALD2,Olfr1006
127,ENSMUSG00000037924,Q62007,Olfr16
128,ENSMUSG00000090824,Q7TQV3,Olfr1344
129,ENSMUSG00000075149,Q8VFQ9,Olfr1138
130,ENSMUSG00000066268,Q7TRR8,Olfr586
131,ENSMUSG00000066268,Q8VH13,Olfr586
132,ENSMUSG00000040328,Q8VGD6,Olfr56
133,ENSMUSG00000070375,Q7TRX0,Olfr406
134,ENSMUSG00000062204,Q7TQT6,Olfr1373
135,ENSMUSG00000059623,E9PVX1,Olfr39
136,ENSMUSG00000059623,Q8VG88,Olfr39
137,ENSMUSG00000094426,Q8VG04,Olfr478
138,ENSMUSG00000053287,Q7TR96,Olfr1013
139,ENSMUSG00000051414,Q7TRH1,Olfr829
140,ENSMUSG00000051414,Q8VGX1,Olfr829
141,ENSMUSG00000048292,Q8VGJ6,Olfr1417
142,ENSMUSG00000059319,Q7TS08,Olfr295
143,ENSMUSG00000075179,Q8VF52,Olfr1079
144,ENSMUSG00000075179,Q7TR68,Olfr1079
145,ENSMUSG00000093839,Q5SW50,Olfr462
146,ENSMUSG00000051258,Q5SZZ8,Olfr1362
147,ENSMUSG00000057050,Q8VEZ6,Olfr397
148,ENSMUSG00000111611,Q9QZ20,Olfr157
149,ENSMUSG00000044994,Q8VG74,Olfr1426
150,ENSMUSG00000095917,E9PV79,Olfr740
151,ENSMUSG00000045559,Q8VEV5,Olfr827
152,ENSMUSG00000075066,A0A1L1SRF4,Olfr32
153,ENSMUSG00000075066,Q7TQZ0,Olfr32
154,ENSMUSG00000075066,A0A1L1STL6,Olfr32
155,ENSMUSG00000043698,L7MU75,Olfr62
156,ENSMUSG00000051160,Q8VGG6,Olfr853
157,ENSMUSG00000110804,A0A1L1STZ9,Olfr1084
158,ENSMUSG00000075100,A0A1L1SU13,Olfr1223
159,ENSMUSG00000070311,Q9EQB2,Olfr894
