,DL_OR,cid,odor,concentration,odor_and_conc,logFC,FDR,id
49590,Or5Aq1,165675,(+)-Menthol,1p,1% (+)-Menthol,2.83032558629407,2.3609682146773602e-54,Olfr1110
49591,Or8G17,165675,(+)-Menthol,1p,1% (+)-Menthol,3.58564840414008,4.60505771487264e-28,Olfr146
49592,Or8G21,165675,(+)-Menthol,1p,1% (+)-Menthol,3.50419770257777,9.706536934981953e-19,Olfr935
49593,Or8G30,165675,(+)-Menthol,1p,1% (+)-Menthol,3.06140323860655,1.7540853949757398e-18,Olfr948
49594,Or8G18,165675,(+)-Menthol,1p,1% (+)-Menthol,2.6935501391521,6.65454921783759e-16,Olfr1537
51794,Or5Aq1,16666,(-)-Menthol,1p,1% (-)-Menthol,2.92934582603498,5.18441237015625e-46,Olfr1110
51795,Or5P1,16666,(-)-Menthol,1p,1% (-)-Menthol,2.18281999314475,3.49879977099961e-21,Olfr491
51796,Or8B49,16666,(-)-Menthol,1p,1% (-)-Menthol,3.20823944842815,4.3050854770447904e-20,Olfr913
51797,Or8G30,16666,(-)-Menthol,1p,1% (-)-Menthol,3.19329335691658,2.018771382526e-12,Olfr948
51798,Or8B57,16666,(-)-Menthol,1p,1% (-)-Menthol,1.73859108659304,6.51439584138431e-09,Olfr983
79344,Or8B35,68490,2-Hydroxy acetophenone,1p,1% 2-Hydroxy acetophenone,4.26862359924032,1.38387545277847e-34,Olfr881
79345,Or8A1B,68490,2-Hydroxy acetophenone,1p,1% 2-Hydroxy acetophenone,3.53030508908723,1.7474190286249498e-33,Olfr160
79346,Or8B56,68490,2-Hydroxy acetophenone,1p,1% 2-Hydroxy acetophenone,2.87015690793256,2.3233079827494398e-30,Olfr923
79347,Or8B41,68490,2-Hydroxy acetophenone,1p,1% 2-Hydroxy acetophenone,4.92728796159866,3.11695392791046e-26,Olfr890
79348,Or8B40,68490,2-Hydroxy acetophenone,1p,1% 2-Hydroxy acetophenone,3.04452803088773,4.70227120124333e-22,Olfr889
37468,Or1E1C,7410,Acetophenone,1p,1% Acetophenone,2.65800502725588,1.80121173413872e-15,Olfr376
37469,Or2N1D,7410,Acetophenone,1p,1% Acetophenone,1.73116681610032,1.04206541378293e-07,Olfr136
37470,Or8B56,7410,Acetophenone,1p,1% Acetophenone,3.05869885194086,3.10247258411077e-06,Olfr923
37471,Or5B118,7410,Acetophenone,1p,1% Acetophenone,2.41527191099405,0.0002898599786945,Olfr1474
37472,Or8B49,7410,Acetophenone,1p,1% Acetophenone,1.65214233333144,0.0015737833186434,Olfr913
1102,Or1E1C,1049,Pyridine,1p,1% Pyridine,3.43292442293803,8.43128039194673e-59,Olfr376
1103,Or12J2,1049,Pyridine,1p,1% Pyridine,2.02859721625786,6.300842466661e-44,Olfr527
1104,Or4B1D,1049,Pyridine,1p,1% Pyridine,3.20201381225029,8.0509793868009e-39,Olfr32
1105,Or13G1,1049,Pyridine,1p,1% Pyridine,1.87383026596874,6.63278601382683e-38,Olfr309
1106,Or4Z4,1049,Pyridine,1p,1% Pyridine,2.22923746852366,1.7192658724536003e-16,Olfr1427
3306,Or2T26,263626,TMT,1p,1% TMT,2.42808833121859,4.81550776488195e-20,Olfr1395
3307,Or2J6,263626,TMT,1p,1% TMT,2.3460004179551,8.45165715989387e-17,Olfr531
3308,Or1E1C,263626,TMT,1p,1% TMT,2.69639078483265,1.0398580504451801e-15,Olfr376
3309,Or7A36,263626,TMT,1p,1% TMT,2.51293531810771,3.5764486577486897e-12,Olfr1352
