,PCA_1,PCA_2
Or10A2,6.287557872344358,-2.5071690353226823
Or10A3,-8.919016293592621,-3.514217984401017
Or10A3B,-8.114685611222518,-5.111174498611832
Or10A3M,-9.277097953801023,-1.8819016053412927
Or10A3N,-8.137750821704845,-3.7029143011443497
Or10A4,-1.2973599063417984,-6.606207676203527
Or10A48,-8.688740677092614,-2.2377113729953786
Or10A49,7.059939991662485,1.3465008730903494
Or10A5,5.1558077870189685,-0.0192359277773425
Or10Aa1,-4.623895092587057,-5.705370548923107
Or10Aa3,-1.6685196740818715,-6.268592083337235
Or10Ab4,2.8011570482840904,4.578125009054241
Or10Ab5,4.5848299923726685,2.109913740263258
Or10Ac1,1.268002344664857,-3.6901621439924415
Or10Ad1,-2.2246036448527358,-0.3837079765412487
Or10Ad1B,-4.311661038302726,-0.1722782377577498
Or10Ag2,8.327153759586572,-3.7310306282866192
Or10Ag52,-5.033242247488249,-4.672655549770091
Or10Ag53,-0.536240032417119,2.444822469617299
Or10Ag54,6.956445306079812,-3.3900644812879204
Or10Ag56,7.75253939786454,-3.1881918413926518
Or10Ag57,4.893252894259869,-0.2335848423973546
Or10Ag58,6.190866954696855,-0.9511712401097496
Or10Ag59,-1.4484544065106255,-4.381967697257992
Or10Ag60,6.316427608027991,-3.456517319262157
Or10Ak11,-3.1119151801347336,-4.189103749819797
Or10Ak12,-6.498707593803318,-1.5443553422931084
Or10Ak13,-4.06603214959693,-3.038919013763642
Or10Ak14,5.986654541215632,-2.064698193447737
Or10Ak16,-0.7410607445253685,-1.145089345433013
Or10Ak7,0.5745271251695716,-2.6560496040755703
Or10Ak8,4.19895735422274,-3.960552859408818
Or10Ak9,-5.402605426838602,-2.3794664788087005
Or10Al2,3.107867022255069,-2.195441099840936
Or10Al3,5.210029798022233,0.931322170274228
Or10Al4,3.6085902782701744,2.81038563411857
Or10Al5,4.06275779235662,1.523527892576349
Or10Al6,2.872222076449177,3.700620066207757
Or10Al7,2.0201447613228334,1.3162273873431805
Or10Am5,4.481224329028955,5.899474225726103
Or10B1,0.0799437914284545,2.6436788072577566
Or10C1,3.662579968307634,1.1055824118607884
Or10D1,-0.3258479125951094,3.620351958562756
Or10D1B,-3.82849132440094,-1.7499977868804284
Or10D1C,-4.404288051140008,-1.700413939329208
Or10D3,2.2953811058935174,5.707841842888804
Or10D4,2.981092466357234,3.959948574689176
Or10D4B,2.272945818701601,5.119900339836863
Or10D4C,3.453133744861046,3.309945963632552
Or10D5,2.8855481123842925,4.718842979826508
Or10D5J,0.7210315168242895,4.950496411890216
Or10G1,-0.7308281277288384,-0.7207418432336227
Or10G1B,-0.6908758129107185,-0.3125088529687976
Or10G3,1.4241185480425391,1.9060798387394564
Or10G3B,1.9147289312689375,-1.325408327763901
Or10G6,2.5764577541784544,-6.823939288208805
Or10G7,-0.322735409292268,3.4095286399248077
Or10G9,-0.5040429371001972,-5.8117062495696965
Or10G9B,-2.55835604880256,-0.1325356518951533
Or10H1,3.349315451374885,6.331606780280417
Or10H1B,2.4430213300195693,6.409106700322655
Or10H28,3.0557668811803618,6.413267833345127
Or10J27,4.642193927014912,-0.7390190771690893
Or10J3,7.209665391301664,-1.2749983688960476
Or10J3B,5.572765575984498,0.9003776802667837
Or10J5,2.865637868963478,-0.9095172234008658
