,MDS1,MDS2
Or10A2,38.30638434316866,26.17048204289939
Or10A3,-17.114826516626188,-47.338283293256644
Or10A3B,1.5416219698216216,-56.87913086858307
Or10A3M,25.588221459772296,-34.902236103641556
Or10A3N,-7.026754506759741,-64.74488647289587
Or10A4,-12.828733194333632,55.76249610422098
Or10A48,-63.618377866451695,-1.5335706890942107
Or10A49,-8.544166313370901,-25.290373145259615
Or10A5,20.440888769652723,9.56191878466056
Or10Aa1,8.261485028652464,-57.46099650843986
Or10Aa3,17.270397829352518,-53.56140393223147
Or10Ab4,-24.83478518935892,56.678063683507794
Or10Ab5,-3.468455864891528,47.01026850604181
Or10Ac1,2.067203487048326,65.41447378614546
Or10Ad1,34.44125886463574,-4.777456019038789
Or10Ad1B,34.515206803014166,9.287208857383778
Or10Ag2,-11.81760795317907,-3.62620576608897
Or10Ag52,2.4620818566445544,-26.251820159583538
Or10Ag53,-0.7126867740665642,26.279365276207077
Or10Ag54,-18.34026556414254,3.6079182905105207
Or10Ag56,-15.504699828627722,-1.050297631921847
Or10Ag57,5.135821495685592,37.40912771612596
Or10Ag58,-11.712611235645035,43.427375747113416
Or10Ag59,17.790700230907945,-24.34227820190537
Or10Ag60,31.262742266511065,41.58997883534734
Or10Ak11,23.55637412176228,-21.747400409023662
Or10Ak12,23.827043407248265,-9.34093872188331
Or10Ak13,-28.54824868194923,24.310896937839548
Or10Ak14,-7.367125705059182,-54.617284434571516
Or10Ak16,-38.018151737311946,35.3948230499928
Or10Ak7,-53.717091972014934,15.859705767101458
Or10Ak8,38.41921669476321,4.076426960369716
Or10Ak9,-40.16190615916162,-32.59897128749428
Or10Al2,-36.78116120545006,43.20912419300051
Or10Al3,14.227811364253878,30.79846239836414
Or10Al4,44.53939170327454,20.63233214886541
Or10Al5,37.56630521862819,51.459415754912435
Or10Al6,21.627920689584723,23.187668121030313
Or10Al7,63.27316630447795,-21.284558888894516
Or10Am5,53.76603319572543,27.537638288493635
Or10B1,-2.2346871068949308,53.99139399822298
Or10C1,7.846569497405595,-6.871703363898651
Or10D1,5.398924880475004,56.34027169032434
Or10D1B,0.8582842505049665,-31.07507341364634
Or10D1C,15.183585727033726,-49.885215924849184
Or10D3,6.76617941443697,-51.682553435046664
Or10D4,-24.546659761067268,52.345031233527216
Or10D4B,-39.830922211624376,28.68492736773653
Or10D4C,-1.0804731507954668,-55.49250272944227
Or10D5,11.840684703247751,51.65473966495787
Or10D5J,-12.452842476025793,-50.07745502639298
Or10G1,35.41200599859991,32.77905046791721
Or10G1B,-13.864688766604631,-42.36211934028434
Or10G3,-3.6994620548894734,-36.75068330618165
Or10G3B,17.591698788406962,-46.15918765472052
Or10G6,28.642083981511924,13.888270745228416
Or10G7,5.425958377384152,-14.382827865953447
Or10G9,21.980069947702145,-44.080747276667985
Or10G9B,14.803633814315381,-28.37874347254261
Or10H1,47.15339895959903,-46.02806859131333
Or10H1B,54.20978521586296,40.789908238628804
Or10H28,-12.728227525368311,-66.2595314230591
Or10J27,17.78422069748805,59.799900499722796
Or10J3,5.249897986256256,23.578893221676214
Or10J3B,-8.90679230120091,47.89498897264405
Or10J5,-4.773473608396259,54.23901871700405
Or10J7,20.820644028617835,-60.54382401448888
Or10K2,29.071401865238002,56.6265034910278
Or10N1,-53.0470074979208,6.153264980179067
Or10P1,12.238247398177378,-28.998116449239525
Or10P21,48.56599873605049,27.215868899632664
Or10P22,49.642869561498735,28.961417709097645
Or10Q1,36.46203094592267,-63.705917457971104
Or10Q12,43.46374421646838,52.731222264045186
Or10Q1B,-10.636910621233687,57.633074372859525
Or10Q3,45.62100421677174,37.555638591629666
Or10S1,14.537613858044828,17.88557571076071
Or10U3,26.787344431082477,20.2488709260314
Or10U4,7.59104498542233,44.21761761032284
Or10V1,38.135905136049026,49.042715975413564
Or10V5,-28.925927084992903,55.49388020492146
Or10V9,-15.237647497400804,58.78259716026269
Or10W1,-22.51130242789058,58.94238465150652
Or10X1,2.9789030875038964,-63.08473128430084
Or10X4,9.739432498879367,-36.63239532767139
Or10Z1,-35.346329543032475,28.80115868632799
Or11A4,28.053965650495496,-19.02133836580089
Or11G1,2.131788409338038,-9.85155855904968
Or11G2,-23.865273188271004,-41.61500259743301
Or11G24,5.3989062880204735,27.7982383344587
Or11G25,-21.42357926199879,-56.10191500732243
Or11G26,32.76852386059278,37.597528471094115
Or11G27,-2.198893302714953,-9.585573520489469
Or11G7,20.369771941229295,29.02185452811903
Or11H23,2.7119735330417862,-45.732742271116344
Or11H4,8.344240400095837,-64.33322020500069
