,MDS1,MDS2
4930516K23Rik,63.93187600744358,3.516243596107205
Olfr1025-ps1,32.067811096552475,31.072548386623087
Olfr1038,30.745709816204464,33.90305126311476
Olfr104-ps,-6.988685507282999,-11.245739274800124
Olfr105-ps,50.254314565481245,-41.010444779728424
Olfr106-ps,-10.469722311702059,-11.656363093118646
Olfr1096,12.296268488833933,15.233715475165242
Olfr1141,-16.66526542594538,19.303196836437024
Olfr1150-ps1,8.683257974373129,-2.395335549707879
Olfr1174,35.69237318312198,49.23938768374542
Olfr1175,35.83775919373244,52.5024250441619
Olfr1177,34.82909679669949,52.084790530399886
Olfr1185-ps1,-41.87543937883635,-43.55793359450907
Olfr1191-ps1,-44.16371933169767,-32.67970010715933
Olfr1192-ps1,-28.97343128449501,-25.596173466503732
Olfr1224-ps1,-31.873152420827964,-52.08822120185599
Olfr1291-ps1,-27.184819610232772,-37.56911554148953
Olfr1293-ps,-25.770566430430296,-32.78124726542063
Olfr1315-ps1,-20.320530614790023,-37.08245266144325
Olfr1326-ps1,-46.12657382770254,8.40571226886857
Olfr1369-ps1,-10.537428239753323,-17.516334058467244
Olfr1432,-8.996779255870246,3.856512232039776
Olfr1434,-20.898017468316723,4.197491146550194
Olfr1438-ps1,-13.473099785248738,41.797498122799915
Olfr1458,14.674969717522968,12.269786397260674
Olfr1493-ps1,16.925178807307418,-30.463173588805244
Olfr1532,3.288881407625415,-6.497610264518367
Olfr1555-ps1,-8.521444057911905,-18.736829911767856
Olfr1564,-50.519735768991566,47.20900254458297
Olfr1565,-27.94749380182605,-31.792085045270497
Olfr175,-22.632774674909452,47.503423761356714
Olfr209,-7.721591677625808,39.789384159104245
Olfr271-ps1,65.66634055109522,-44.98407782996495
Olfr322,-4.035346763672216,-18.79073866700773
Olfr335-ps,-20.6730942037277,23.67950230781175
Olfr364-ps1,9.92227034891372,-4.7550468644078565
Olfr396-ps1,19.862949695545815,-0.47934656634323586
Olfr418,24.931277812846528,38.647983356381715
Olfr465-ps1,-36.28589036398216,-11.866406685264625
Olfr548-ps1,64.58208732070518,-6.667300865229445
Olfr573-ps1,50.20055168532355,6.053655385489657
Olfr587-ps1,25.81930752565115,-21.04666362983423
