,OR1,OR2,distance,similarity,Class1,Class2,Same_Class
0,Olfr1,Olfr139,21.09128138185379,0.40237189501133,1,3,NA
1,Olfr1,Olfr20,8.466737668993055,0.842007223668449,1,1,1
2,Olfr139,Olfr20,19.428213155870587,0.406305202597928,3,1,NA
3,Olfr1,Olfr23,2.6455927556897745,0.781332562747721,1,1,1
4,Olfr139,Olfr23,23.589013524173772,0.393731939069993,3,1,NA
5,Olfr20,Olfr23,8.980753880488155,0.78793205951686,1,1,1
6,Olfr1,Olfr376,6.21394165402768,0.854062088143632,1,1,1
7,Olfr139,Olfr376,20.690144145452948,0.408332586577118,3,1,NA
8,Olfr20,Olfr376,2.629046681699931,0.91518448955117,1,1,1
9,Olfr23,Olfr376,6.3969973063637555,0.795701386589712,1,1,1
10,Olfr1,Olfr380,9.588348446394603,0.747823738049112,1,1,1
11,Olfr139,Olfr380,20.577449387187826,0.400084051020823,3,1,NA
12,Olfr20,Olfr380,1.5322674568187846,0.793623891391679,1,1,1
13,Olfr23,Olfr380,9.76155307514863,0.732888386139898,1,1,1
14,Olfr376,Olfr380,3.4188402056554628,0.771717055328233,1,1,1
15,Olfr1,Olfr381,8.218170585965323,0.744600023676396,1,1,1
16,Olfr139,Olfr381,14.677133433210583,0.397221410108108,3,1,NA
17,Olfr20,Olfr381,5.1645604958016715,0.779686979817439,1,1,1
18,Olfr23,Olfr381,10.081274328800578,0.757440284935012,1,1,1
19,Olfr376,Olfr381,6.0136123195275175,0.764116999908501,1,1,1
20,Olfr380,Olfr381,6.6022680967521135,0.871714045785508,1,1,1
21,Olfr1,Olfr389,19.41981770590688,0.77716534424187,1,1,1
22,Olfr139,Olfr389,19.835230399449113,0.383203296064517,3,1,NA
23,Olfr20,Olfr389,11.121564747253448,0.796508643577931,1,1,1
24,Olfr23,Olfr389,20.099487533310885,0.749339562668449,1,1,1
25,Olfr376,Olfr389,13.712172230188465,0.79395325541296,1,1,1
26,Olfr380,Olfr389,10.478620074760778,0.776583678348703,1,1,1
27,Olfr381,Olfr389,12.699599488726315,0.76193521467134,1,1,1
28,Olfr1,Olfr390,10.408508407546023,0.82052203991151,1,1,1
29,Olfr139,Olfr390,14.491119431092558,0.403683571476718,3,1,NA
30,Olfr20,Olfr390,5.01208658337445,0.820383481136673,1,1,1
31,Olfr23,Olfr390,11.988007109297993,0.83432834166281,1,1,1
32,Olfr376,Olfr390,6.835857319238045,0.826443812119294,1,1,1
33,Olfr380,Olfr390,6.0863453714686635,0.767670403061597,1,1,1
34,Olfr381,Olfr390,2.5044882423731925,0.802406747363538,1,1,1
35,Olfr389,Olfr390,10.260048101954393,0.780133845301536,1,1,1
36,Olfr1,Olfr391,17.34967491713115,0.79925105304225,1,1,1
37,Olfr139,Olfr391,21.40266648998088,0.386712996381423,3,1,NA
38,Olfr20,Olfr391,8.883079974452693,0.799128037020152,1,1,1
39,Olfr23,Olfr391,17.675588936717947,0.761258615352741,1,1,1
40,Olfr376,Olfr391,11.31092050093201,0.819501615109749,1,1,1
41,Olfr380,Olfr391,7.914175368892407,0.754190365335904,1,1,1
42,Olfr381,Olfr391,11.71407211304655,0.770455489559524,1,1,1
43,Olfr389,Olfr391,3.390084013153015,0.84009994930739,1,1,1
44,Olfr390,Olfr391,9.550772894843238,0.782271733653017,1,1,1
45,Olfr1,Olfr392,12.591664537347754,0.776429972358936,1,1,1
46,Olfr139,Olfr392,20.558605043099988,0.39027450021765,3,1,NA
47,Olfr20,Olfr392,4.16074570761675,0.790742338892734,1,1,1
48,Olfr23,Olfr392,12.843790288906108,0.735108458244782,1,1,1
49,Olfr376,Olfr392,6.487340499363175,0.780116969379792,1,1,1
50,Olfr380,Olfr392,3.0824333081540525,0.770790347597409,1,1,1
51,Olfr381,Olfr392,8.084288000731448,0.747316566267527,1,1,1
52,Olfr389,Olfr392,7.529702294982961,0.896813276579614,1,1,1
53,Olfr390,Olfr392,6.590507259444516,0.770546078743993,1,1,1
54,Olfr391,Olfr392,4.8318038873821445,0.80603414732768,1,1,1
55,Olfr1,Olfr393,10.454914462560378,0.772784170532824,1,1,1
56,Olfr139,Olfr393,19.578400135483797,0.383509332738312,3,1,NA
57,Olfr20,Olfr393,1.9882849887415082,0.796383880288816,1,1,1
58,Olfr23,Olfr393,10.891009158175471,0.748785771858217,1,1,1
59,Olfr376,Olfr393,4.494550994022731,0.804981712192326,1,1,1
60,Olfr380,Olfr393,1.4303997678636318,0.756472169534333,1,1,1
61,Olfr381,Olfr393,6.171376653514305,0.777759796669153,1,1,1
62,Olfr389,Olfr393,9.224821131176364,0.846747199224598,1,1,1
