,Olfr,PC1 (1.41%),PC2 (1.11%),Zone,rtp_ko,stress_score
0,Olfr1,-9.866987488474617,0.8864237258804709,3,,3.6862189327667534
1,Olfr10,4.965849518565237,-10.477786732473568,,,0.4269954916286116
2,Olfr1000,-7.315688287391811,-1.2593248670297608,2,uOR,1.2148909203591327
3,Olfr1002,3.8700126011020357,11.440541181438418,1,uOR,2.7398686712492477
4,Olfr1006,6.954555041816309,6.702562791295482,2,uOR,1.544004074771662
5,Olfr1008,6.627521338048117,-2.5313398167849663,5,oOR,2.1728252866054807
6,Olfr1009,-4.463089865216296,6.606771051192459,1,uOR,1.212650027533896
7,Olfr101,-2.757689248517623,6.866461617073584,2,oOR,2.608582220688893
8,Olfr1012,4.908974450615949,6.609974730949544,2,oOR,1.5968895238274614
9,Olfr1013,8.140616853476836,5.836196884083555,2,oOR,1.4248505042907158
10,Olfr1014,6.896134216518739,2.9916713056981448,2,uOR,3.1027788357746986
11,Olfr1015,-1.2485250204800695,-7.1975062276202335,2,uOR,3.1466718844497708
12,Olfr1016,9.556533177574659,-3.0609413463804165,2,,1.793360353596838
13,Olfr1018,12.71078370307471,-3.8015115930907997,2,uOR,-2.4061138218312896
14,Olfr1019,12.945041865343795,0.6259873741808523,1,oOR,1.6251196952715572
15,Olfr102,0.5046848163280645,6.675482383074246,,oOR,0.222974338433652
16,Olfr1020,9.650817902861283,-4.941699103614148,1,,2.890568671776649
17,Olfr1022,13.061355042489836,0.08525813883151612,,,2.207117921132053
18,Olfr1023,13.061355042489836,0.08525813883151612,2,,1.1637760140515063
19,Olfr1024,6.886595550508415,2.5371211387008743,1,,0.7044825409133976
20,Olfr1025-ps1,12.888276148600598,2.5098125285502926,,,1.0642295831207835
21,Olfr1026,-5.864210460904459,3.315648048533302,1,uOR,2.7207978375643185
22,Olfr1028,14.980679965951431,2.449232259686604,1,,0.7000649720930341
23,Olfr1029,14.446901024931188,2.118117906259025,1,uOR,1.038704338571193
24,Olfr103,11.444792144114693,5.982706859232399,2,oOR,0.2121289332283319
25,Olfr1030,13.75032593418202,-3.994282724193703,1,uOR,0.3121434050903424
26,Olfr1031,9.240736119952501,-1.1653310183946262,1,,0.0791462339822835
27,Olfr1032,4.959387265809465,-7.0320945386619,1,uOR,2.417035663896137
28,Olfr1033,4.159280489316413,11.229982188353008,1,,-0.2245357151675701
29,Olfr1034,-9.300602916895633,-0.9618269611878912,1,uOR,1.892425506861508
30,Olfr1036,-9.55178754308735,-1.3396162606468969,1,uOR,2.161224545564722
31,Olfr1037,-5.106088572688,-0.18859266331865482,1,uOR,-0.0488495241957233
32,Olfr1038,-11.771479152414063,2.4346291409145318,,,
33,Olfr1038-ps,-11.771479152414063,2.4346291409145318,1,,1.3567907925032896
34,Olfr1039,8.650368043005495,6.058415471462889,1,uOR,2.7786315369809302
35,Olfr104-ps,-5.4671571479410765,0.8134933528716175,,,0.0721375086315353
36,Olfr1040,3.821243063087801,10.241674235107135,,oOR,2.3053766483981204
37,Olfr1042,-0.434581475582786,9.858852872789669,1,uOR,3.060447264799414
38,Olfr1043,-4.816057177855792,-6.582011737969319,1,uOR,3.5497950969724497
39,Olfr1044,-2.113292214431981,5.770569028002027,1,uOR,1.8863181233647788
40,Olfr1045,10.572494830349589,-4.352415881825838,1,uOR,1.0849963318392968
41,Olfr1046,-7.89188562669551,-3.7308511647513756,1,uOR,3.19041674397943
42,Olfr1047,10.907258548860042,-0.3687777917129054,1,uOR,2.9417991356576265
43,Olfr1048,0.7716982280076142,5.115059734592388,1,uOR,1.7794034826802696
44,Olfr1049,-8.691823628939009,0.594872024354033,2,uOR,2.2582135994913464
45,Olfr105-ps,-0.5858840545696259,-0.22190661377080226,,,1.3594830888958005
46,Olfr1051,-7.235788136264243,2.7827674765304753,1.5,uOR,1.1236084518049148
47,Olfr1052,10.994601331652657,6.992037736993251,1,uOR,0.7409766682309735
48,Olfr1053,0.7716982280076142,5.115059734592388,,uOR,3.4050193468354037
49,Olfr1054,-7.606186091926831,1.462729164987638,1,,1.9737302210458003
50,Olfr1055,1.0337168358357525,10.27332414030755,1,,1.775389365806636
51,Olfr1056,-8.25643475589042,1.6163502662586648,1,oOR,1.12234098715693
52,Olfr1057,2.1651608932530837,5.497487375000517,1.5,oOR,-0.2076644993997426
53,Olfr1058,-3.266973409098768,2.199368237772073,,,4.109290365950349
54,Olfr106-ps,-1.72267724969232,-4.135258411026557,,,0.9484079174819676
55,Olfr1061,-5.86498382667591,4.6301794660421525,,oOR,2.113502387014372
56,Olfr1062,9.743979583707302,-7.207873811949803,2,,0.7981434692757041
57,Olfr1065,-5.827993075592787,4.985153671881488,1.5,uOR,3.24209782898045
58,Olfr1066,-8.882105793067712,0.42048621551508103,,,2.231953892441425
59,Olfr107,7.797140403332135,-9.220774137462252,1.5,uOR,0.4671305244022266
60,Olfr1076,-4.76269943085017,-1.0348140165731616,,,2.0740104376256854
61,Olfr1079,-10.099895002090859,2.4568010041303214,1.5,oOR,0.1490821095417342
62,Olfr108,5.237062783127131,-5.517683983365819,,,1.7024377995174755
63,Olfr1080,-9.413315321109492,2.5207938450938716,3,oOR,0.3913569709938551
64,Olfr1082,10.907258548860042,-0.3687777917129054,2.5,,0.7634142622932732
65,Olfr1084,-1.61059764605471,9.551792375162908,,,1.6186280164413558
66,Olfr1085,-6.394573373728763,2.666305429539859,2,uOR,1.7471892947119558
67,Olfr1086,5.643706389127852,3.8640852692033594,1,,0.4021477894767305
68,Olfr1087,6.471991849961894,-10.02423478545231,2,uOR,2.514267390689063
69,Olfr1089,-8.727244926290757,3.8749133194842806,2.5,oOR,4.689877602285093
70,Olfr109,-4.2232487442279,-1.0699489517027128,2.5,oOR,0.7847572461270326
71,Olfr1090,-5.9256059648672,5.156859176016522,2.5,uOR,1.201894403748491
72,Olfr1093,-3.2215297114424564,-8.21050713279378,3.5,uOR,1.5306429444661385
73,Olfr1094,6.801726106700419,0.9796614900390662,1.5,uOR,0.2100688845988953
74,Olfr1095,-1.5466285902109322,4.975685114178112,1.5,,-0.4506338394920142
75,Olfr1096,-7.476198806697471,-3.742155146921906,,,
76,Olfr1097,-3.62005931689626,-9.02284648830883,4,uOR,0.1430810667464285
77,Olfr1098,-8.177488120725284,-3.350426457753335,4,uOR,-0.022441622549961
78,Olfr1099,-6.708907316934793,-2.368693636681202,3.5,uOR,0.4131922362622945
79,Olfr11,-3.1457829358042435,-3.5665606671657164,3,uOR,2.085145814719433
80,Olfr110,1.377366617863651,3.2737944292241865,3,oOR,0.1926097277151182
81,Olfr1100,3.0380842422543464,-3.5772701665291335,3,uOR,0.3405378073393776
82,Olfr1101,11.695184002692,-2.6916125139812412,1.5,,1.228432456943848
83,Olfr1102,10.009057373585012,3.367979301964188,1,uOR,1.5968558776576396
84,Olfr1104,7.341309883302192,0.6637092454137397,1.5,uOR,0.862271643132608
85,Olfr1105,-1.2751444519467952,0.20530326961217416,1.5,oOR,-1.2964515054974457
86,Olfr1106,12.611021282199083,-7.094085068718592,1,uOR,0.660529217005694
87,Olfr1107,7.288312729023352,-9.412037137702082,3,oOR,-1.9677803007423544
88,Olfr1109,6.292832631086551,-11.785258188074653,1.5,,3.4372645509694397
89,Olfr111,3.7991248863135816,5.17625018479976,2.5,oOR,-0.1540627475003459
90,Olfr1110,6.292832631086551,-11.785258188074653,3,oOR,1.1455717924101592
91,Olfr1111,6.187696134348497,-6.96406523734498,1.5,uOR,1.0851802291867918
92,Olfr1112,-2.145810646024182,-7.703199537359982,3.5,uOR,-0.8491361586454237
93,Olfr1113,-3.547853649810511,-0.5808245617657951,1,,-0.3318600397921777
