,Olfr,PC1 (1.41%),PC2 (1.11%),rtp_ko,new_cluster,zone,identity,stress_score,DL_OR,Class
0,Olfr1,-9.866995486609312,0.8881208188001098,,,,,,Or1e16,1
1,Olfr10,4.965955043728087,-10.478990253688876,,3.0,,High Stress,0.4269954916286116,Or2y1b,2
2,Olfr1000,-7.315745549821362,-1.2559043216463126,uOR,5.0,2,High Stress,1.2148909203591327,Or5g23,5
3,Olfr1002,3.870065046696866,11.442058352146647,uOR,5.0,1,High Stress,2.739868671249248,Or5g25,5
4,Olfr1006,6.95457489827937,6.70016561027335,uOR,5.0,2,High Stress,1.544004074771662,Or9g4,9
5,Olfr1008,6.627648092996053,-2.5308735120414907,oOR,5.0,5,High Stress,2.1728252866054807,Or8k16,8
6,Olfr1009,-4.462723954491863,6.6077553671101095,uOR,5.0,1,High Stress,1.212650027533896,Or5g9,5
7,Olfr101,-2.7577994705778,6.867157086955308,oOR,3.0,2,High Stress,2.608582220688893,Or12d12,12
8,Olfr1012,4.908796322913452,6.612332160052322,oOR,5.0,2,High Stress,1.5968895238274614,Or9g3,9
9,Olfr1013,8.140737393146198,5.833313144297576,oOR,5.0,2,High Stress,1.4248505042907158,Or9g19,9
10,Olfr1014,6.896040618966467,2.9883273080030075,uOR,5.0,2,High Stress,3.1027788357746986,Or9g8,9
11,Olfr1015,-1.2486158577252675,-7.198287285659342,uOR,5.0,2,High Stress,3.1466718844497708,Or9g4b,9
12,Olfr1016,9.556473440686004,-3.0601577290619804,,5.0,2,High Stress,1.793360353596838,Or9g20,9
13,Olfr1018,12.710744699310377,-3.80147095626076,uOR,3.0,2,Low Stress,-2.4061138218312896,Or2ah1,2
14,Olfr1019,12.945078780080191,0.6258734950614582,oOR,5.0,1,High Stress,1.6251196952715572,Or5ar1,5
15,Olfr102,0.5044182660873252,6.676736994888297,oOR,3.0,,High Stress,0.222974338433652,Or12d2,12
16,Olfr1020,9.650781030891666,-4.940347336673993,,5.0,1,High Stress,2.890568671776649,Or5ap2,5
17,Olfr1022,13.06139781209792,0.0834015924841805,,5.0,,High Stress,2.207117921132053,Or5m10b,5
18,Olfr1023,13.06139781209792,0.0834015924841805,,5.0,2,High Stress,1.1637760140515063,Or5m10,5
19,Olfr1024,6.886724392792179,2.534681617893402,,5.0,1,High Stress,0.7044825409133976,Or5m12,5
20,Olfr1025-ps1,12.888320799703386,2.509439645089482,,5.0,,High Stress,1.0642295831207835,,
21,Olfr1026,-5.864273513547211,3.314435071231576,uOR,5.0,1,High Stress,2.7207978375643185,Or5m13b,5
22,Olfr1028,14.980643536558052,2.450366858330695,,5.0,1,High Stress,0.7000649720930341,Or5m11,5
23,Olfr1029,14.446802789581325,2.119502047751712,uOR,5.0,1,High Stress,1.038704338571193,Or5m11b,5
24,Olfr103,11.444771548209635,5.982972490498247,oOR,3.0,2,High Stress,0.2121289332283319,Or12d13,12
25,Olfr1030,13.750292566167436,-3.9935646594989054,uOR,5.0,1,High Stress,0.3121434050903424,Or5m5,5
26,Olfr1031,9.240627667115394,-1.1655444409070472,,5.0,1,High Stress,0.0791462339822835,Or5m8,5
27,Olfr1032,4.959217031624312,-7.034684694417573,uOR,5.0,1,High Stress,2.417035663896137,Or5m3,5
28,Olfr1033,4.159452496264176,11.22968109521594,,,,,,Or5m3b,5
29,Olfr1034,-9.300565851715378,-0.9674996782137752,uOR,5.0,1,High Stress,1.892425506861508,Or5m9,5
30,Olfr1036,-9.551732154279236,-1.3446089248686004,uOR,5.0,1,High Stress,2.161224545564722,Or5m9b,5
31,Olfr1037,-5.105776951994956,-0.190860172482126,uOR,5.0,1,Low Stress,-0.0488495241957233,Or8u10,8
32,Olfr1038,-11.771489047827984,2.4342417038159225,,,,,,,
33,Olfr1038-ps,-11.771489047827984,2.4342417038159225,,,,,,,
34,Olfr1039,8.650284785006315,6.059197977348155,uOR,5.0,1,High Stress,2.7786315369809302,Or5al5,5
35,Olfr104-ps,-5.466917704230166,0.8109444761561724,,3.0,,High Stress,0.0721375086315353,,
36,Olfr1040,3.821231884689268,10.24326356755849,oOR,5.0,,High Stress,2.3053766483981204,Or5al6,5
37,Olfr1042,-0.4346944843505592,9.85853610390249,uOR,5.0,1,High Stress,3.060447264799414,Or5al1,5
38,Olfr1043,-4.815811162661142,-6.581372581762559,uOR,5.0,1,High Stress,3.5497950969724497,Or5al7,5
39,Olfr1044,-2.1135412062259324,5.76776072201359,uOR,5.0,1,High Stress,1.8863181233647788,Or8u9,8
40,Olfr1045,10.572420216140394,-4.352662029639643,uOR,5.0,1,High Stress,1.0849963318392968,Or8j3,8
41,Olfr1046,-7.891874705048875,-3.730013218477392,uOR,5.0,1,High Stress,3.19041674397943,Or8k1,8
42,Olfr1047,10.907203793380324,-0.3699886578000757,uOR,5.0,1,High Stress,2.9417991356576265,Or8k3,8
43,Olfr1048,0.7718381179198827,5.113560595570214,uOR,5.0,1,High Stress,1.7794034826802696,Or8k17,8
44,Olfr1049,-8.691753107002668,0.5960068231017738,uOR,5.0,2,High Stress,2.2582135994913464,Or8k18,8
45,Olfr105-ps,-0.5859372471744607,-0.2222289764107828,,3.0,,High Stress,1.3594830888958005,,
46,Olfr1051,-7.235895941727282,2.7823727562139893,uOR,5.0,1.5,High Stress,1.1236084518049148,Or8k20,8
47,Olfr1052,10.994530651579447,6.991805733919702,uOR,5.0,1,High Stress,0.7409766682309735,Or5j3,5
48,Olfr1053,0.7718381179198827,5.113560595570214,uOR,5.0,,High Stress,3.405019346835404,Or8k21,8
49,Olfr1054,-7.606288904701588,1.464272109572018,,5.0,1,High Stress,1.9737302210458003,Or8k22,8
50,Olfr1055,1.0338004788206268,10.273296420286176,,5.0,1,High Stress,1.775389365806636,Or8k53,8
51,Olfr1056,-8.256564489306191,1.6178784678051634,oOR,5.0,1,High Stress,1.12234098715693,Or8k23,8
52,Olfr1057,2.1650417070753547,5.498180655852964,oOR,5.0,1.5,Low Stress,-0.2076644993997426,Or8j3b,8
53,Olfr1058,-3.26677947964897,2.1973821377907083,,5.0,,High Stress,4.109290365950349,Or8k24,8
54,Olfr106-ps,-1.722911182352146,-4.13546962426663,,3.0,,High Stress,0.9484079174819676,,
55,Olfr1061,-5.865053899314262,4.629647598958328,oOR,5.0,,High Stress,2.113502387014372,Or8k25,8
56,Olfr1062,9.743849856212377,-7.207536062387854,,5.0,2,High Stress,0.7981434692757041,Or8j3c,8
57,Olfr1065,-5.827956140584023,4.985373530303516,uOR,5.0,1.5,High Stress,3.24209782898045,Or8k27,8
58,Olfr1066,-8.882264262434315,0.4226651012997697,,5.0,,High Stress,2.231953892441425,Or8k28,8
59,Olfr107,7.797083484755316,-9.221887053981332,uOR,6.0,1.5,High Stress,0.4671305244022266,Or1o1,1
60,Olfr1076,-4.762582691029232,-1.0384230123747689,,5.0,,High Stress,2.0740104376256854,Or8k30,8
61,Olfr1079,-10.099961170443308,2.4573557395858097,oOR,5.0,1.5,High Stress,0.1490821095417342,Or8k32,8
62,Olfr108,5.236991694840547,-5.517773677992039,,6.0,,High Stress,1.7024377995174755,Or1o11,1
63,Olfr1080,-9.413353234580702,2.5222680427652806,oOR,5.0,3,High Stress,0.3913569709938551,Or8k33,8
64,Olfr1082,10.907203793380324,-0.3699886578000757,,5.0,2.5,High Stress,0.7634142622932732,Or8k35,8
65,Olfr1084,-1.6103930128009734,9.552229279607094,,5.0,,High Stress,1.6186280164413558,Or8k37,8
66,Olfr1085,-6.394455356478312,2.668026064745176,uOR,5.0,2,High Stress,1.7471892947119558,Or8k38,8
67,Olfr1086,5.643774836025585,3.864177535670392,,5.0,1,High Stress,0.4021477894767305,Or5t7,5
68,Olfr1087,6.472026499023487,-10.023444852814675,uOR,5.0,2,High Stress,2.514267390689063,Or8k3b,8
69,Olfr1089,-8.727059842168643,3.8743952452670745,oOR,5.0,2.5,High Stress,4.689877602285093,Or8k39,8
70,Olfr109,-4.2229870972696855,-1.072456699948826,oOR,3.0,2.5,High Stress,0.7847572461270326,Or12d17,12
71,Olfr1090,-5.925458247646636,5.155418702816521,uOR,5.0,2.5,High Stress,1.201894403748491,Or8k40,8
72,Olfr1093,-3.221430996431024,-8.21012052295312,uOR,5.0,3.5,High Stress,1.5306429444661385,Or5t5,5
73,Olfr1094,6.801438562904798,0.9798493405963096,uOR,5.0,1.5,High Stress,0.2100688845988953,Or5t9,5
74,Olfr1095,-1.5467992525515024,4.972952285647681,,5.0,1.5,Low Stress,-0.4506338394920142,Or5t15,5
75,Olfr1096,-7.476385071279144,-3.744227816822623,,,,,,,
76,Olfr1097,-3.6200054974465368,-9.024127002537528,uOR,5.0,4,High Stress,0.1430810667464285,Or8h7,8
77,Olfr1098,-8.177471216030426,-3.353315182839348,uOR,5.0,4,Low Stress,-0.022441622549961,Or8h8,8
78,Olfr1099,-6.709281390141354,-2.370366729325777,uOR,5.0,3.5,High Stress,0.4131922362622945,Or8h9,8
79,Olfr11,-3.146058659234724,-3.56788664380194,uOR,3.0,3,High Stress,2.085145814719433,Or2b6,2
80,Olfr110,1.3774372482208743,3.2726894870203496,oOR,3.0,3,High Stress,0.1926097277151182,Or5v1,5
81,Olfr1100,3.038030118315533,-3.577913853207394,uOR,5.0,3,High Stress,0.3405378073393776,Or8h10,8
82,Olfr1101,11.69499177885689,-2.690653132925116,,5.0,1.5,High Stress,1.228432456943848,Or5t16,5
83,Olfr1102,10.008912365824578,3.368728106017951,uOR,5.0,1,High Stress,1.5968558776576396,Or5t17,5
84,Olfr1104,7.3412638354182755,0.663711275018819,uOR,5.0,1.5,High Stress,0.862271643132608,Or8i2,8
85,Olfr1105,-1.2749577762838735,0.2040032683900892,oOR,5.0,1.5,Low Stress,-1.2964515054974457,Or5be3,5
86,Olfr1106,12.61116106376786,-7.092044835928086,uOR,5.0,1,High Stress,0.660529217005694,Or5j1,5
87,Olfr1107,7.288495158783618,-9.411280613002988,oOR,5.0,3,Low Stress,-1.9677803007423544,Or5aq1b,5
88,Olfr1109,6.292756170275306,-11.786680540256256,,5.0,1.5,High Stress,3.43726455096944,Or5aq6,5
89,Olfr111,3.79914241064744,5.173017472266821,oOR,3.0,2.5,Low Stress,-0.1540627475003459,Or5v1b,5
90,Olfr1110,6.292756170275306,-11.786680540256256,oOR,5.0,3,High Stress,1.1455717924101592,Or5aq1,5
91,Olfr1111,6.1879111921619305,-6.961662136058365,uOR,5.0,1.5,High Stress,1.0851802291867918,Or5as1,5
92,Olfr1112,-2.1458444963311583,-7.702350029337301,uOR,3.0,3.5,Low Stress,-0.8491361586454237,Or12e1,12
93,Olfr1113,-3.548257817944873,-0.5816009474450324,,3.0,1,Low Stress,-0.3318600397921777,Or10ag52,10
94,Olfr1115,0.737184408841901,-0.0564114130281088,uOR,3.0,2,Low Stress,-0.5632730550658608,Or10ag53,10
95,Olfr1116,9.045201229359002,0.2248080533965493,,3.0,,Low Stress,-0.1277272430665832,Or10ag54,10
96,Olfr1118,10.933023676587135,-0.0542120308380601,uOR,3.0,3.5,High Stress,0.9816028578587728,Or10ag56,10
97,Olfr112,3.859952951503773,-1.2388142963159294,uOR,3.0,2.5,High Stress,1.133035668506654,Or14j9,14
98,Olfr1120,-3.908067548079072,-0.1187870095326586,,3.0,3,High Stress,0.1258681690784505,Or12e8,12
99,Olfr1121,-5.232385581987717,-0.2537916801136889,uOR,3.0,2.5,High Stress,1.3248565846752716,Or12e9,12
100,Olfr1122,11.44096383014605,-0.777034409381642,,3.0,1.5,High Stress,0.3196598795619894,Or10ag57,10
101,Olfr1123,10.620029985183187,-3.327011334338516,uOR,3.0,3,Low Stress,-0.4742055253581564,Or10ag2,10
102,Olfr1124,-0.4467075069692932,0.996344087010736,,3.0,3,High Stress,0.696181227526894,Or10ag58,10
103,Olfr1126,8.100137033484133,1.6097055906806954,,3.0,3,High Stress,0.8041894588044384,Or12e7,12
104,Olfr1128,1.1610358610686593,9.78307238305413,,5.0,,Low Stress,-0.8747044052490256,Or5w10,5
105,Olfr1129,-1.3968919883803983,-1.672171675011003,uOR,3.0,3,Low Stress,-0.1609996428338869,Or10ag59,10
106,Olfr113,3.609241724572117,10.578166890198633,,3.0,3,High Stress,1.4409021528588997,Or14j2,14
107,Olfr1130,9.092355922671649,-1.4513331247553285,uOR,3.0,2.5,High Stress,0.603634345470557,Or10ag60,10
108,Olfr1131,-1.4453489670468904,-9.616166088972058,uOR,5.0,1,High Stress,2.502862969279876,Or5w11,5
