,PCA_1,PCA_2,family
Or1A1,-0.4828328,-3.9679039,1
Or1A1B,0.7035165,-3.0508146,1
Or1Aa2,1.466426,-4.438191,1
Or1Ab2,1.9077117,-10.126614,1
Or1Ad1,-5.2917123,-3.6003428,1
Or1Ad6,-3.9370692,-2.5762498,1
Or1Ad8,-0.15133786,-0.72329247,1
Or1Af1,1.3258528,-0.23090562,1
Or1Ak2,2.0279977,-12.136672,1
Or1B1,13.977033,-9.603216,1
Or1D2,3.1256547,-11.982662,1
Or1E1,-10.749526,-19.638401,1
Or1E16,-8.090808,-13.278866,1
Or1E17,-7.9724445,-20.049616,1
Or1E19,-3.271533,-13.842551,1
Or1E1C,-10.107534,-20.373165,1
Or1E1F,-8.642538,-18.6008,1
Or1E21,-8.454392,-9.001038,1
Or1E22,-9.968401,-13.872407,1
Or1E23,-16.26009,-24.727827,1
Or1E25,-14.456297,-11.634079,1
Or1E26,-15.615624,-4.2854686,1
Or1E29,-14.423218,-11.784562,1
Or1E30,-3.5447125,-14.355112,1
Or1E31,-11.598319,-14.444598,1
Or1E32,-5.795947,-15.825729,1
Or1E33,-12.457738,-10.980542,1
Or1E34,-8.713554,-10.166387,1
Or1E35,-9.219019,-15.628299,1
Or1F12,-11.613076,-19.488525,1
Or1F19,-1.7761604,-11.516427,1
Or1I2,-1.0351727,-9.380817,1
Or1J1,-4.89909,-11.806436,1
Or1J10,-10.910211,-15.00109,1
Or1J11,-6.7850356,-12.764316,1
Or1J12,-11.005304,-17.583878,1
Or1J13,-7.775062,-19.807083,1
Or1J14,-7.5731363,-13.908513,1
Or1J15,-11.388107,-12.7559185,1
Or1J16,-4.2066493,-12.585885,1
Or1J17,-6.676508,-14.997168,1
Or1J18,-10.127211,-18.3899,1
Or1J19,-7.6170435,-15.561443,1
Or1J20,-9.943894,-16.815502,1
Or1J21,-9.868755,-18.36132,1
Or1J4,-10.199592,-11.586449,1
Or1L4,-1.0494934,-8.719253,1
Or1L8,-5.029632,-9.525389,1
Or1M1,2.5090344,-5.890563,1
Or1N1,-4.8055763,-7.17622,1
Or1N1B,-9.807606,-10.957429,1
Or1N2,2.3218884,-10.826494,1
Or1O1,-5.625176,-13.533722,1
Or1O11,-0.8353304,-12.892124,1
Or1O2,-2.448694,-15.946431,1
Or1O3,-4.9656763,-16.903664,1
Or1O4,-1.7868829,-14.484979,1
Or1P1,4.4408216,-3.246093,1
Or1P1C,4.008892,-5.8952184,1
Or1Q1,3.7841885,-3.499003,1
Or1R1,6.2607827,-9.974433,1
Or1S2,-5.931826,-2.3613875,1
Or1X2,-2.9672818,-9.908041,1
Or1X6,0.73698914,-8.255627,1
Or2A12,8.467325,-11.853607,2
Or2A14,9.290305,-7.2553487,2
Or2A20,5.89205,-9.884429,2
Or2A25,8.309097,-11.418862,2
Or2A5,8.532164,-5.3222113,2
Or2A51,4.393603,-4.790345,2
Or2A52,8.1464615,-7.2867875,2
Or2A54,10.39865,-4.5374656,2
Or2A56,8.329102,-6.0620675,2
Or2A57,5.8477077,-7.872653,2
Or2A7,6.544289,-9.228241,2
Or2Aa1,5.4266906,-0.5243298,2
Or2Ab1,11.16938,0.99950993,2
Or2Ad1,7.325025,2.9905689,2
Or2Ag1,4.591628,-8.3481865,2
Or2Ag12,6.9473476,-9.616404,2
Or2Ag13,3.5474105,-6.441756,2
Or2Ag15,7.641754,-9.681104,2
Or2Ag16,3.2210064,-6.1351037,2
Or2Ag17,9.512565,-3.1255565,2
Or2Ag18,11.345765,-4.4989495,2
Or2Ag19,10.100868,-1.2800243,2
Or2Ag1B,3.6376445,-6.066072,2
Or2Ag2,1.735261,-17.259146,2
Or2Ag20,1.3395071,-9.67426,2
Or2Ag2B,5.3867974,-12.197711,2
Or2Ah1,-3.7265587,6.021164,2
Or2Aj4,6.8518476,0.5620809,2
Or2Aj5,7.119158,-0.62098074,2
Or2Aj6,8.134357,1.4089135,2
Or2Ak4,1.4167998,-11.732252,2
Or2Ak5,2.2753634,-8.57448,2
Or2Ak6,0.13406432,-12.1230755,2
Or2Ak7,1.5242329,-10.105871,2
Or2At1,3.3546984,-6.916348,2
Or2At4,1.7078242,-8.86997,2
Or2Av9,2.878321,-1.5843489,2
Or2B11,8.385916,0.21044913,2
Or2B2,8.257041,4.0549803,2
Or2B28,1.6838529,1.5689589,2
Or2B2B,8.344442,4.6015124,2
Or2B4,10.46253,0.44564894,2
Or2B6,12.712721,-5.482541,2
Or2B7,4.6493297,2.134335,2
Or2Bd2,17.228853,-11.139378,2
Or2C1,5.127936,0.4136671,2
Or2D2,3.3289742,-5.301249,2
Or2D3,4.3055964,-2.5179262,2
Or2D36,4.124439,-2.0306091,2
Or2D4,-2.1607118,5.6586385,2
Or2F1,2.3964632,-7.4981484,2
Or2F1B,2.7036362,-12.836138,2
Or2F2,0.68666047,-8.708273,2
