,Umap_1,Umap_2
Or1A1,6.2316327,5.78965
Or1A1B,6.104967,7.8320613
Or1Aa2,2.4707067,6.310241
Or1Ab2,3.8343654,5.3365126
Or1Ad1,5.6785564,6.197264
Or1Ad6,7.0569816,6.2683177
Or1Ad8,6.4040165,7.5117717
Or1Af1,6.3658,5.7895846
Or1Ak2,6.540921,7.553665
Or1B1,9.121876,6.397387
Or1D2,4.412211,5.9681177
Or1E1,2.0166302,5.9919925
Or1E16,2.6543562,5.2557425
Or1E17,5.282614,6.3956823
Or1E19,2.1739738,5.5962152
Or1E1C,2.2490401,5.4843
Or1E1F,1.9994982,5.79527
Or1E21,1.9394054,5.9281173
Or1E22,2.1774027,5.7011805
Or1E23,1.9003685,6.227721
Or1E25,2.6020749,5.2837014
Or1E26,1.9546757,6.405174
Or1E29,5.58765,7.8213296
Or1E30,1.9756696,6.5710597
Or1E31,1.8813256,6.400876
Or1E32,5.766724,7.62609
Or1E33,1.8590714,6.1518826
Or1E34,5.015892,6.8083277
Or1E35,1.9043278,6.3688145
Or1F12,2.6940289,5.482806
Or1F19,2.2208867,6.3851933
Or1I2,4.914626,5.2723126
Or1J1,2.9421837,5.2539363
Or1J10,3.036675,5.295327
Or1J11,2.539443,5.3718815
Or1J12,2.1820476,6.1741104
Or1J13,3.1046133,5.158664
Or1J15,2.152876,6.089267
Or1J16,2.3601232,5.6987314
Or1J17,2.6741908,5.348678
Or1J18,2.0823529,6.3403225
Or1J19,2.6229792,5.2678075
Or1J20,2.604472,5.2963376
Or1J21,2.302578,5.605824
Or1L4,7.093967,7.451162
Or1L8,2.458395,7.208645
Or1M1,5.6243577,5.8750634
Or1N1,6.3054686,7.1428967
Or1N1B,5.604359,6.1192055
Or1N2,2.7915606,6.5139575
Or1O1,3.2110114,7.287438
Or1O11,3.1908677,7.1007032
Or1O2,6.244111,8.079537
Or1O3,3.2258434,6.9092574
Or1O4,3.1737833,6.9355383
Or1P1,6.487928,7.176735
Or1P1C,6.75082,7.2999015
Or1Q1,7.176719,6.2471867
Or1R1,8.967147,6.3471823
Or1S2,3.736078,6.298565
Or1X2,2.6382763,5.794391
Or1X6,2.957065,5.7265463
Or2A12,6.473503,5.691444
Or2A14,5.4933434,6.0408688
Or2A20,5.5819106,6.0783887
Or2A25,5.434539,5.9454293
Or2A5,7.0367823,4.8118963
Or2A51,5.644691,5.943697
Or2A52,8.571216,7.932669
Or2A54,4.7489905,6.088424
Or2A56,5.75643,5.8195195
Or2A57,5.6604652,5.9660373
Or2A7,3.2996254,5.201518
Or2Aa1,3.5481424,7.547889
Or2Ad1,7.326348,8.684019
Or2Ag1,6.4087715,6.5574327
Or2Ag12,6.5579944,6.475551
Or2Ag13,6.5085564,8.025198
Or2Ag15,2.0170803,6.8570633
Or2Ag16,6.482345,6.59539
Or2Ag17,6.4090247,6.645848
Or2Ag18,6.563686,6.6019144
Or2Ag19,6.457037,6.819359
Or2Ag1B,6.443141,6.4948783
Or2Ag2,3.8144646,6.858196
Or2Ag20,6.414599,8.151907
Or2Ag2B,6.2260065,6.550381
Or2Ah1,7.1882277,8.721029
Or2Aj4,7.772301,7.2524095
Or2Aj5,7.843817,7.1512594
Or2Aj6,7.766419,7.285551
Or2Ak4,9.48905,8.0451765
Or2Ak5,9.5069685,7.1292706
Or2Ak6,9.232854,7.7342463
Or2Ak7,3.046631,7.455012
Or2At1,4.3334494,9.288578
Or2At4,2.9288,8.884638
Or2Av9,3.0053306,7.342768
Or2B11,9.537083,7.6877894
Or2B2,9.3571415,8.323703
Or2B28,9.330134,7.5526166
Or2B2B,9.318061,8.264306
Or2B4,9.420636,8.016558
Or2B6,6.515462,5.955045
Or2B7,8.012614,8.239224
Or2Bd2,6.186531,7.681155
Or2C1,6.979799,7.818644
Or2D2,9.096925,7.6632347
Or2D3,9.463339,7.052674
Or2D36,3.444408,7.282886
Or2D4,9.467947,6.7614646
Or2F1,4.5915093,5.4603705
Or2F1B,4.851001,5.4128456
Or2F2,5.552802,6.137826
Or2G1,9.26436,8.426769
Or2G25,9.121658,7.8290076
Or2G7,9.210842,7.844293
Or2H1,9.4378195,6.758145
Or2H15,9.268965,8.25124
Or2H1B,9.340963,5.6947684
Or2H2,9.404991,7.0461917
Or2H2C,9.333412,5.969717
Or2I1,6.2926283,7.111767
Or2J3,9.508985,7.8115454
Or2J6,2.804133,6.863307
Or2K2,6.6541467,10.090885
Or2L13,6.5795083,6.6896925
Or2L13B,6.4199276,5.849986
Or2L5,7.0453696,7.649077
Or2M12,5.56712,7.655001
Or2M13,5.2823906,7.2490916
Or2N1,9.002381,4.916439
Or2N1B,7.1065884,4.847667
Or2N1C,8.837386,4.749294
Or2N1D,7.1139717,4.8638916
Or2N1E,6.658626,5.4100485
Or2O1,3.2870846,7.5311074
Or2P2,8.568611,7.538065
Or2Q1,6.2489653,3.625376
Or2R11,4.16464,5.2156262
Or2R2,2.688662,5.9320097
Or2R3,2.5533948,5.930009
Or2T1,7.1223316,4.98656
Or2T26,8.140564,6.5430894
Or2T29,9.446655,6.224647
Or2T43,9.41276,6.3383994
Or2T44,2.1817572,7.18227
Or2T45,2.6597145,7.3882427
Or2T46,9.451166,6.3189197
