,PCA_1,PCA_2,Family,Class
Or1a1,-4.4392376,-4.836279,1,2
Or1a1b,-5.2760453,-4.0117054,1,2
Or1aa2,-2.3317323,-8.239279,1,2
Or1ab2,-8.930256,-20.109974,1,2
Or1ad1,4.488765,-11.448394,1,2
Or1ad6,1.8015187,-9.133714,1,2
Or1ad8,-2.4843748,-7.4109907,1,2
Or1af1,-4.2205563,-2.5155678,1,2
Or1ak2,-6.066165,-15.758664,1,2
Or1b1,-23.378975,-17.108456,1,2
Or1d2,-5.6580634,-8.885726,1,2
Or1e1,8.887861,-20.453623,1,2
Or1e16,5.6273837,-12.97655,1,2
Or1e17,8.045605,-19.931046,1,2
Or1e19,3.2414043,-13.243416,1,2
Or1e1c,6.381797,-23.118755,1,2
Or1e1f,8.092302,-14.40379,1,2
Or1e21,12.395921,2.6682918,1,2
Or1e22,14.565686,-8.4567175,1,2
Or1e23,21.4925,-21.602911,1,2
Or1e25,16.726284,-2.8469753,1,2
Or1e26,21.526415,-0.15955123,1,2
Or1e29,21.480228,-11.292752,1,2
Or1e30,3.8878927,-1.0995201,1,2
Or1e31,15.002034,-12.856393,1,2
Or1e32,8.5186205,-10.819433,1,2
Or1e33,17.972095,-5.004692,1,2
Or1e34,10.617355,-3.8445344,1,2
Or1e35,13.283221,-12.965852,1,2
Or1f12,6.172257,-20.723978,1,2
Or1f19,-0.045510896,-17.01234,1,2
Or1i2,0.010383565,-18.417112,1,2
Or1j1,1.5338337,-9.703326,1,2
Or1j10,12.200625,-16.075678,1,2
Or1j11,5.5892296,-9.487209,1,2
Or1j12,10.183942,-19.829418,1,2
Or1j13,4.724198,-23.385117,1,2
Or1j14,7.37645,-18.798069,1,2
Or1j15,12.286444,-11.423002,1,2
Or1j16,1.2940098,-15.744109,1,2
Or1j17,4.805694,-12.092948,1,2
Or1j18,11.205612,-20.107288,1,2
Or1j19,3.130835,-12.351652,1,2
Or1j20,8.210572,-16.050346,1,2
Or1j21,7.9684606,-20.997503,1,2
Or1j4,7.2462626,-8.647666,1,2
Or1l4,3.1043756,-14.144216,1,2
Or1l8,4.923661,-13.150845,1,2
Or1m1,-5.1403513,-7.029051,1,2
Or1n1,4.027619,-15.084824,1,2
Or1n1b,5.7530365,-16.371355,1,2
Or1n2,-1.7237195,-20.821688,1,2
Or1o1,0.28140074,-29.552338,1,2
Or1o11,-7.182809,-24.931906,1,2
Or1o2,-1.9424192,-28.708237,1,2
Or1o3,0.24241866,-29.248287,1,2
Or1o4,-3.110847,-22.949848,1,2
Or1p1,-12.89093,-5.6497197,1,2
Or1p1c,-11.386478,-4.7860556,1,2
Or1q1,-3.7343187,-5.177134,1,2
Or1r1,-14.687568,-19.384972,1,2
Or1s2,7.3525295,-1.4339955,1,2
Or1x2,-1.7242498,-9.169639,1,2
Or1x6,-4.3871145,-5.7096953,1,2
Or2a12,-11.274763,-8.446161,2,2
Or2a14,-13.823667,-4.5853796,2,2
Or2a20,-10.823583,-10.311175,2,2
Or2a25,-12.404336,-7.0954313,2,2
Or2a5,-12.270958,-9.675469,2,2
Or2a51,-7.0641794,-4.036109,2,2
Or2a52,-7.3059072,-15.201002,2,2
Or2a54,-12.77584,0.5492829,2,2
Or2a56,-11.947239,-1.8307813,2,2
Or2a57,-10.562193,-8.272344,2,2
Or2a7,-9.500124,-7.731148,2,2
Or2aa1,-10.906867,-12.367304,2,2
Or2ab1,-11.296924,0.0828895,2,2
Or2ad1,-8.690747,2.7073605,2,2
Or2ag1,-9.439108,-9.413389,2,2
Or2ag12,-8.489117,-9.531236,2,2
Or2ag13,-2.4428813,-11.232195,2,2
Or2ag15,-8.140632,-15.242629,2,2
Or2ag16,-6.0568223,-10.257958,2,2
Or2ag17,-12.914882,-0.5464453,2,2
Or2ag18,-15.890385,-6.722302,2,2
Or2ag19,-15.0840025,-0.051675737,2,2
Or2ag1b,-5.5652046,-12.421933,2,2
Or2ag2,-6.085107,-19.258446,2,2
Or2ag20,-3.3585014,-17.71551,2,2
Or2ag2b,-9.541553,-16.414799,2,2
Or2ah1,4.2313266,2.117675,2,2
Or2aj4,-3.5365632,-0.22936134,2,2
Or2aj5,-4.589605,0.40618053,2,2
Or2aj6,-4.6561074,0.7184228,2,2
Or2ak4,-4.6513653,-19.191767,2,2
Or2ak5,-6.562695,-17.881039,2,2
Or2ak6,-3.503399,-19.658253,2,2
Or2ak7,-5.915746,-17.382584,2,2
Or2at1,-8.91958,-13.506584,2,2
Or2at4,-4.039718,-11.032874,2,2
Or2av9,-5.9044356,-3.1560824,2,2
Or2b11,-16.790976,-7.478647,2,2
Or2b2,-14.148873,0.08068551,2,2
Or2b28,-4.5482726,-5.1022367,2,2
Or2b2b,-14.173457,0.5102484,2,2
Or2b4,-16.22613,-2.0583985,2,2
Or2b6,-16.439941,-4.192136,2,2
Or2b7,-8.424827,0.5639163,2,2
Or2bd2,-28.261524,-14.001246,2,2
Or2c1,-11.545356,-7.705919,2,2
Or2d2,-10.569579,-1.6650865,2,2
Or2d3,-7.383736,-2.2041113,2,2
Or2d36,-7.24028,1.8820499,2,2
Or2d4,3.341469,8.143081,2,2
Or2f1,-4.880194,-5.6786246,2,2
Or2f1b,-5.745423,-10.241475,2,2
Or2f2,-3.7453287,-9.052695,2,2
Or2g1,-19.099684,-4.417249,2,2
Or2g25,-16.568523,-3.361436,2,2
Or2g7,-16.58194,-0.7454311,2,2
Or2h1,-15.500611,-14.838645,2,2
Or2h15,-13.341544,-6.0363016,2,2
Or2h1b,-14.788289,-10.713572,2,2
Or2h2,-17.265675,-12.978738,2,2
Or2h2c,-11.482169,-9.222684,2,2
Or2i1,-18.871887,-15.461206,2,2
Or2j3,-9.416748,-13.565844,2,2
Or2j6,-1.3031317,-5.3734837,2,2
Or2k2,7.6273317,-0.6434306,2,2
Or2l13,-10.349495,-11.957592,2,2
Or2l13b,-7.486383,-2.6765292,2,2
Or2l5,-14.031404,9.519062,2,2
Or2m12,-4.6736603,1.1562207,2,2
Or2m13,0.13506073,5.3578296,2,2
Or2n1,-6.8570323,-2.3850453,2,2
Or2n1b,-10.452352,2.4201143,2,2
Or2n1c,-13.421656,4.0085654,2,2
Or2n1d,-9.735922,-1.3670986,2,2
Or2n1e,-8.654225,3.745517,2,2
Or2o1,-6.963683,-6.8043613,2,2
Or2p2,-3.8911889,-5.348964,2,2
Or2q1,-5.964597,1.249762,2,2
Or2r11,-7.728006,-8.5572405,2,2
Or2r2,-5.2286344,-7.2138033,2,2
Or2r3,-7.2514133,-6.3953323,2,2
Or2t1,-7.2010336,-2.5697443,2,2
Or2t26,-13.820277,-2.9357617,2,2
Or2t29,10.40942,-21.160128,2,2
Or2t43,1.2048132,-15.26329,2,2
Or2t44,-14.327171,-3.158509,2,2
Or2t45,-12.934874,-7.6994314,2,2
Or2t46,5.3586907,-17.890728,2,2
Or2t47,7.607719,-21.788973,2,2
Or2t48,13.095226,-19.613316,2,2
Or2t49,8.495241,-21.303905,2,2
Or2t6,-14.154386,8.730109,2,2
Or2v1,-13.2723675,-6.0727844,2,2
Or2v2,-3.9670093,-10.267385,2,2
Or2w1,-9.410706,2.0167198,2,2
Or2w2,-6.636677,0.5614236,2,2
Or2w25,-17.22616,-10.744861,2,2
Or2w3b,-16.482536,-14.416934,2,2
Or2w4,-15.12238,2.7780151,2,2
Or2w6,-18.401133,7.6004705,2,2
Or2y1,-15.176266,-3.8169317,2,2
Or2y10,-15.5630455,-7.7053847,2,2
Or2y11,-16.026224,-7.6862273,2,2
Or2y12,-15.20623,-7.3654537,2,2
Or2y13,-6.539452,-4.403881,2,2
Or2y14,-11.100469,-10.007268,2,2
Or2y15,-17.178288,0.9664487,2,2
Or2y16,-14.434552,-7.8442936,2,2
Or2y17,-6.8097177,-1.7908546,2,2
Or2y1b,-19.174345,1.8745304,2,2
Or2y1c,-15.161155,-0.04687115,2,2
Or2y1d,-16.832178,-0.11516173,2,2
Or2y1e,-14.475206,-3.5737782,2,2
Or2y1f,-17.059406,1.3468812,2,2
Or2y1g,-19.563734,0.77293605,2,2
Or2y3,-13.505483,2.7525797,2,2
Or2y6,-14.789513,-8.753635,2,2
Or2y8,-15.901498,-8.210416,2,2
