,PCA_1,PCA_2
Or6C1,-2.4977808,-1.2968632
Or5P50,0.5733678,2.4679036
Or5W10,-0.5005543,1.4585806
Or6B2B,-0.31011617,1.9912499
Or2A52,1.7946018,0.67748237
Or11G24,-1.6335199,-0.14364001
Or5B21,1.5110724,1.2499326
Or5B119,-1.7523214,0.49804696
Or1E1C,-2.6485078,-0.530341
Or6C33,-1.6710708,0.9515718
Or5W1B,-2.4315152,1.5602175
Or4A70,2.0171785,-1.4160264
Or5W18,1.4167534,-0.4323271
Or8S10,2.2043147,-0.41857025
Or10Al2,1.8260833,-0.091590695
Or8S2,1.7172159,-0.4790821
Or9I1,-0.4912717,1.5729239
Or10D4B,-1.1721268,1.8511798
Or52Ae9,-3.499884,0.7161034
Or6C69,-2.2279987,2.4849803
Or2T45,-1.5179809,2.6480649
Or4K44,0.6856405,0.10066486
Or4A67,1.9595729,0.76419115
Or5H25,1.7596018,-1.2663845
Or52S1,-1.328978,1.8873655
Or5P69,1.3101561,2.1158173
Or10Q12,0.959539,1.4097425
Or51A25,-1.085631,1.3574917
Or1D2,-1.5199023,-1.7360158
Or8B40,-1.246773,-2.9161294
Or1M1,-0.53125936,-1.4709814
Or10D1B,-0.042083558,-1.4998506
Or1P1,0.86352974,0.40491927
Or5M12,-0.54781693,2.1898406
Or14J2,0.46796933,0.6116937
Or51A43,-0.7023309,0.51540333
Or14C39,1.7342987,-1.6929377
Or7G17,-1.4672879,0.18391751
Or8G21,-1.119231,-3.058151
Or8G52,0.56276554,-2.497837
Or4D10B,2.2118533,-0.80904335
Or5G25,0.06369007,1.0145558
Or6C209,-3.626838,-1.2896376
Or9G19,0.58721244,1.6648647
Or1J20,-3.0442345,-1.2760575
Or1Ad1,-0.61879027,-1.3817799
Or52P1,-2.036299,1.4540231
Or5P78,0.7957365,3.1461103
Or51A6,-2.9294276,0.25731975
Or3A1C,0.9298193,1.1857239
Or6B2,1.7092704,0.356645
Or1E30,-0.96061105,2.2692304
Or11L3,2.1466353,0.8649447
Or5Ac23,-0.5252475,0.9710892
Or6Ae1,2.2735858,0.05590163
Or4A2,0.6197551,-0.80977935
Or4F62,1.4442799,-0.18475561
Or51M1,-2.5657628,1.1280034
Or4F56,-1.0875916,-0.5329426
Or4C125,1.6237284,-1.6429209
Or8K23,-0.6571206,-2.2028005
Or51F23,-0.7862916,2.4449642
Or8K27,-1.8988287,-1.4298071
Or4A79,2.810248,-1.4584635
Or4D10C,1.2680864,-2.7546713
Or10A48,-2.522248,-2.403234
Or4F14,-0.5144896,-0.56551415
Or14A256,1.152285,1.539015
Or10Ak7,0.9317423,0.52574855
Or52N2C,-3.8247283,-0.09813141
Or5B117,-0.8209367,1.3979948
Or5D41,0.14177483,-2.2205193
Or8G36,0.4246226,1.4816301
Or4G16,2.4623718,-0.5700235
Or9S18,1.3587769,1.8323919
Or4C127,2.3771772,-1.6606405
Or4C118,-0.35140505,-1.1779269
Or6B13,1.5774633,-2.387769
Or1E1,-2.2095492,0.3355751
Or5B3,-2.4365218,-0.19211455
Or7G30,-3.1165063,-0.9214809
Or5D46,0.9592717,1.308143
Or10Ak8,2.5794234,1.5112426
Or13C7B,-0.10521775,3.5209389
Or56B34,-0.8223547,1.375715
Or14J6,1.1749098,-0.85947293
Or6C219,-2.0576732,1.8413615
Or7A36,-2.811758,-0.34007376
Or4C126,0.6473496,-0.76040375
Or2R11,-1.6088034,-1.9926106
Or2Q1,-1.7893833,1.3866537
Or1Ak2,1.0074943,0.4387059
Or8B3,1.772511,-0.75618714
Or2H1,2.103811,-0.8073792
Or1I2,-1.2263899,-3.1396134
Or14C40,1.1234759,-1.6828846
Or1Aa2,-1.8013856,0.8461948
Or13A27,0.49103993,2.369311
Or5K1B,1.4693537,-0.60411143
Or2W4,-0.18485852,3.200422
Or4K52,1.8902998,-1.2852119
Or6B6,0.7501533,0.70380765
Or2Aa1,1.0137173,0.54212266
Or13P5,1.25688,-1.4420712
Or1Ad6,0.5335757,-2.017846
Or14J8,1.520023,0.05745913
Or8B48,1.9173131,-1.013394
Or4C112,1.6498882,-0.5800211
Or52E15,-3.2836354,-1.6779999
Or8D1B,-0.38716725,-1.6278414
Or9M1,0.0004993027,1.0771383
Or10G3,-0.25689644,1.8875123
Or2N1D,0.77760696,-0.83634883
Or14A259,0.8443017,-0.022426648
Or5W11,1.7211756,-1.2324893
Or1J19,-2.7665398,-1.6462822
Or10D5J,-0.5566564,0.5561357
Or10J7,1.5454323,-0.7667607
Or2Ag13,0.97439283,1.2661704
Or51Ab3,-2.966367,1.2426851
Or4F14D,-1.1647617,0.6253614
Or14J10,0.20071897,-0.0029634426
Or6C208,-3.7497892,-1.2496315
Or7G32,-3.001355,0.55523413
Or14J5,1.3795774,-0.628473
Or7E170,-1.1898729,2.4739099
Or4F4B,2.1832402,-0.25863352
Or52Z14,-3.7003906,1.52122
Or5V1,-1.9969378,0.98081297
Or4C15B,2.191986,0.12564225
Or5D14,0.44643593,1.1364654
Or2T43,1.4989808,-1.2929935
Or1E23,-2.3704042,1.0477504
Or10Ag2,2.3524582,1.7771192
Or12E13,0.531796,-1.7786666
Or51H5,-0.16333668,0.6003376
Or4P22,2.6739354,0.44602075
Or5M3,1.6977016,-0.85665864
